State,students,counselors
United States,50318379,104306
Alabama,744164,1643
Alaska,131176,297
Arizona,1111695,1204
Arkansas,490917,1317
California,6312161,8303
Colorado,889006,2320
Connecticut,542678,1164
Delaware,134042,312
District of Columbia,85448,225
Florida,2756944,5690
Georgia,1744437,3604
Hawaii,182384,623
Idaho,290885,477
Illinois,2050239,3089
Indiana,1046269,1925
Iowa,505311,1209
Kansas,497275,1051
Kentucky,688640,1521
Louisiana,716800,1532
Maine,182470,579
Maryland,874514,2369
Massachusetts,955844,2258
Michigan,1537922,2109
Minnesota,857235,1186
Mississippi,490917,1120
Missouri,917785,2641
Montana,144532,453
Nebraska,312635,807
Nevada,460012,889
New Hampshire,184670,812
New Jersey,1400579,3781
New Mexico,340365,755
New York,2741185,4314
North Carolina,1548895,4098
North Dakota,106586,347
Ohio,1724810,3810
Oklahoma,688511,1614
Oregon,601318,1054
Pennsylvania,1743160,4409
Rhode Island,141959,336
South Carolina,756523,2049
South Dakota,133040,331
Tennessee,995475,2933
Texas,5233765,11646
Utah,635577,929
Vermont,87796,436
Virginia,1280381,3462
Washington,1073638,2230
West Virginia,280310,752
Wisconsin,871432,1865
Wyoming,94067,429